,_9m
0,5.828941779632809
1,5.8468346024380535
2,5.862702718060823
3,5.8786909720627
4,5.894647315628904
5,5.910273743166432
6,5.925737747306929
7,5.940923216036269
8,5.955862764562104
9,5.970696650905767
10,5.98565015590364
11,6.000685269070289
12,6.014803953615899
13,6.030113524925936
14,6.044860333408432
15,6.059809651849964
16,6.07403517724941
17,6.0881522114746005
18,6.1023126163507175
19,6.115150674025719
20,6.1278380013035765
21,6.130601159481886
22,6.144887477240098
23,6.157489289498021
24,6.170094111203403
25,6.182701943475038
26,6.196083291095708
27,6.209211857378953
28,6.222386510707792
29,6.234568184812399
30,6.2483367171021715
31,6.26210854889579
32,6.264738657354686
33,6.278787559525989
34,6.294145726674413
35,6.3096188247372655
36,6.324532862288631
37,6.338919906005355
38,6.35331053201052
39,6.3667434539985015
40,6.381282161359463
41,6.394483962889413
42,6.409848978573246
43,6.426187537430224
44,6.438632431181522
45,6.451079795593339
46,6.462927041133336
47,6.473192228516074
48,6.483700262348754
49,6.492750564003297
50,6.503358691324706
51,6.513017181419283
52,6.522677773436775
53,6.532493466494166
54,6.542722486636092
55,6.552001275859624
56,6.560894818026175
57,6.569789460087375
58,6.577486813102349
59,6.585185539908327
60,6.591965640902727
61,6.597357338286002
62,6.618711451967559
63,6.625948554762126
64,6.633215839034619
65,6.640648957511093
66,6.6480834302173974
67,6.655519257398414
68,6.663512890435034
69,6.670048280766184
70,6.675289093152926
71,6.681455655475467
72,6.6867574788197315
73,6.692060104671029
74,6.697363533046815
75,6.703890044270971
76,6.710370646667192
77,6.7164028280965935
78,6.722359648533735
79,6.727668070684887
80,6.732977127270566
81,6.73828681815128
82,6.747510739566517
83,6.754560035172992
84,6.7620019522377675
85,6.770804132136062
86,6.777219335608053
87,6.783635593589479
88,6.790016937751886
89,6.796134088302539
90,6.801339959454683
91,6.805654092575792
92,6.811187562784842
93,6.817401648664243
94,6.823616678604118
95,6.829683480342826
96,6.835670116422858
97,6.840894056687307
98,6.8472526859260325
99,6.853865798245535
100,6.854443956038024
101,6.855020867634007
102,6.855900307954841
103,6.855328506346483
104,6.856504780001003
105,6.856916643737665
106,6.85575038084218
107,6.854373997963463
108,6.852995761749846
109,6.851579600561195
110,6.849540604124473
111,6.848451835394454
112,6.842143651071408
113,6.840255699315388
114,6.838530776364214
115,6.8368040782617285
116,6.835075603696605
117,6.834109808148655
118,6.833813310477886
119,6.8339162723963405
120,6.834508217448172
121,6.834585658005943
122,6.834661849878353
123,6.834736791957677
124,6.834895263049667
125,6.83477137341399
126,6.835457719336379
127,6.835817326345715
128,6.8350165717589295
129,6.834214445615098
130,6.833410946799793
131,6.8318986746723045
132,6.830753601841756
133,6.831208328043536
134,6.832541584034892
135,6.830793389486802
136,6.829043492962718
137,6.827291893171657
138,6.823097755035905
139,6.818120081756346
140,6.811836244506415
141,6.803864053323096
142,6.79784779977109
143,6.791828069208327
144,6.785804859279956
145,6.77978235787325
146,6.772636831715006
147,6.764601700346534
148,6.75593243275119
149,6.744587683518474
150,6.733238338895081
151,6.721884396263805
152,6.709270930748705
153,6.697881103878459
154,6.687072038463986
155,6.676392662241679
156,6.665313347099465
157,6.654229439309971
158,6.643140936198465
159,6.621121280652481
160,6.598507975865606
161,6.575555743232486
162,6.551549312979267
163,6.527698078005174
164,6.503837823042975
165,6.4799685431009575
166,6.455159106147853
167,6.429968313791888
168,6.405989629864742
169,6.3830063056947175
170,6.3569035047864135
171,6.3307909334765196
172,6.304668586428982
173,6.277644603866406
174,6.2507675605617035
175,6.224315713004972
176,6.197806085276898
177,6.17029178339915
178,6.1427679549489405
179,6.115234595056344
180,6.086325352119314
181,6.058856840168615
182,6.019538091249391
183,5.982566807696463
184,5.948306180504574
185,5.903050621284236
186,5.870586946376071
187,5.83597667579554
188,5.800701299992987
189,5.765708479863251
190,5.728604928586263
191,5.691655065558872
192,5.654693178372311
193,5.617519615333376
194,5.579950403633323
195,5.542595904985154
196,5.502938091104311
197,5.4631203402761415
198,5.424282239753348
199,5.38543177960165
200,5.346134920597767
201,5.306736955360881
202,5.2674954901048965
203,5.227798136903855
204,5.188448333198232
205,5.1377798745497385
206,5.087095983787352
207,5.03612009303975
208,4.984892282832261
209,4.933184046705172
210,4.882393341851562
211,4.830643799726348
212,4.7783713892318165
213,4.7260841878037265
214,4.673584675933203
215,4.633835294042979
216,4.581797790043508
217,4.530869665374206
218,4.47941470215538
219,4.427781173836631
220,4.376132045047866
221,4.324467308745688
222,4.271198690843668
223,4.217613299848768
224,4.1622472058285265
225,4.106046024944322
226,4.050027132520378
227,3.9939918337607168
228,3.937940121456763
229,3.8817046531794066
230,3.826435464282225
231,3.7708913344309947
232,3.7153684938450686
233,3.6582607285253923
234,3.6011365772289405
235,3.543551417721856
236,3.483699702882604
237,3.4269319793280557
238,3.3684424992853845
239,3.309637414728667
240,3.25069224230859
241,3.1917316556692974
242,3.1319593033479753
243,3.072882114714547
244,3.0112084160084853
245,2.9514506798408844
